,id,feature,交房时间,产权年限,优惠折扣,占地面积,参考单价,售楼地址,在售户型,地上车位数,地下车位数,容  积  率,工程进度,建筑类型,建筑面积,开  发  商,投  资  商,最低首付,最新开盘,楼层状况,楼盘地址,楼盘总价,物  业  费,物业公司,环线配置,绿  化  率,装修标准,规划用户,车  位  数,车  位  比,销售情况
20,合生君景湾,"['项目在建', '装修交付', '品牌开发商', '高绿化率', '大型社区', '车位充足', '医院', '学校', '银行', '便利店']",2020-11-30,住宅 70年,暂无数据,220000m²,住宅21500元/㎡(单价范围 21500-25000元/㎡),佛山市南海区里水大道南113号,2室户型(1)，3室户型(5)，4室户型(2)，5室户型(2),暂无数据,暂无数据,住宅:2.6,在建中，竣工时间：2020-03-31,住宅:高层,550000m²,广东合生泓景房地产有限公司,合生创展集团有限公司,住宅 56.7万（首付比例：30%),2019-03-23,板楼 高层 32层,[南海-里水]里水大道南113号,住宅189-435万元/套,住宅:2.3元/平米/月,广东康景物业服务有限公司,暂无数据,42%,暂无数据,5500户,1261个(1261个（四期）),1.1:1,在售
21,保利海德公园,"['项目在建', '轨交房', '装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '公园', '学校', '南北通透']",2019-12-31,住宅 70年,暂无数据,62187m²,住宅23000元/㎡(单价范围 22000-23000元/㎡),佛山市顺德区乐从镇富华路与华康道交汇处（世纪莲体育馆斜对面）,3室户型(1)，4室户型(3)，5室户型(2),暂无数据,800,住宅:3.9,在建中，竣工时间：2018-12-31,住宅:高层,289800m²,保利地产（集团）有限公司,保利地产（集团）有限公司,住宅 94.2万（首付比例：30%),2019-03-02,由15栋27-40层的塔楼组成,[顺德-佛山新城]富华路,住宅314-384万元/套,住宅:3元/平米/月,保利物业发展股份有限公司,暂无数据,30%,暂无数据,1953户,800个,1:0.4,在售
22,富丰君御,"['今年交房', '项目在建', '装修交付', '大型社区', '车位充足', '购物中心', '公园', '医院', '学校', '银行']",2019-12-31,住宅 70年,暂无数据,127093m²,住宅22000元/㎡(单价范围 22000-24000元/㎡),佛山市南海区桂城街道石龙南路8号,1室户型(1)，2室户型(1)，3室户型(4)，4室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-06-30,住宅:高层,450000m²,佛山市嘉拓置业有限公司,佛山市嘉拓置业有限公司,住宅 33.6万（首付比例：30%),2019-03-23,由22幢33-46层的高层住宅组成，采用点式结构。,[南海-桂城]佛平四路1号,住宅112-664万元/套,住宅:3元/平米/月,信息,暂无数据,25%,暂无数据,2657户,1200个,1:0.5,在售
23,保利水木芳华,"['项目在建', '装修交付', '品牌开发商', '金牌物业', '大型社区', '学校', '厨卫全明', '双卫生间', '主卧套房', '刚需直选']",预计2020年8月交房,住宅 70年,暂无数据,57000m²,住宅17000元/㎡,佛山市禅城区佛罗公路45号之一,3室户型(2),暂无数据,1760,住宅:3.5,在建中，竣工时间：2019-12-31,住宅:小高层,280000m²,佛山市禅城区盈恒置业有限公司,暂无数据,住宅 45.3万（首付比例：30%),2019-04-13,16层,[禅城-祖庙]佛罗公路45号之一,住宅151-173万元/套,住宅:2.7元/平米/月,保利（佛山）物业服务有限公司,暂无数据,30%,暂无数据,2006户,1760个,1:0.88,在售
24,龙光玖御湖,"['装修交付', '品牌开发商', '低容积', '湖景地产', '学校', '南北通透', '厨卫全明', '双卫生间', '双阳台', '主卧套房']",2021-09-30,住宅 70年,暂无数据,72699m²,住宅15800元/㎡起,南海区狮山镇桃园路东路北侧,3室户型(1)，4室户型(3),暂无数据,暂无数据,住宅:1.92,在建中，竣工时间：2019-12-31,住宅:小高层,139583m²,佛山市南海区龙光骏逸房地产有限公司,暂无数据,住宅 47.4万（首付比例：30%),4月20日加推尚景组团新品,小高层,[南海-狮山]桃园路东路北侧,住宅158-208万元/套,住宅:2.3元/平米/月,龙光物业,暂无数据,35%,暂无数据,926户,1377个,1:1.49,在售
25,宏宇景裕豪园,"['今年交房', '装修交付', '大型社区', '车位充足', '学校', '银行', '厨卫全明', '大户型', '双卫生间', '热销盘']",2019-10-01,住宅 70年,暂无数据,139800m²,住宅25000元/㎡,佛山市南海区南海大道与海八路交汇处西南角,2室户型(1)，3室户型(3)，4室户型(2),暂无数据,1200,住宅:3,已竣工，交房时间：2017-12-31,住宅:小高层 高层,622636m²,宏鼎房地产开发有限公司,宏鼎地产,住宅 66万（首付比例：30%),2019-03-23,板楼 高层,[南海-桂城]南海大道,住宅220-312万元/套,住宅:2.83元/平米/月,宏鼎物业,暂无数据,30%,暂无数据,4310户,1200个,1:0.3,在售
26,泷景花园,"['今年交房', '项目封顶', '轨交房', '大型社区', '购物中心', '学校', '银行', '便利店', '配套纯熟', '大户型']",6期2座预计2021年9月交房,住宅 70年 商业 40年,暂无数据,754000m²,"住宅19000元/㎡(单价范围 18000-19000元/㎡), 商业13000元/㎡",禅城区东平路,3室户型(3)，4室户型(2)，商业户型(1),暂无数据,暂无数据,"住宅:3.71,商业:3.71",已封顶，竣工时间：2016-12-30,住宅:高层 商业 高层,2800000m²,佛山市新升房地产开发有限公司,佛山市新升房地产开发有限公司,住宅 50.1万（首付比例：30%),2019-03-23,共3排11栋楼，合计265套单位,[禅城-石湾]东平路,"住宅167-298万元/套, 商业49万元/套",住宅:4元/平米/月 商业:4.5元/平米/月,香港启胜物业管理公司,暂无数据,30%,暂无数据,4107户,10000个(地下车库),1:2.4,在售
27,雅居乐万象郡,"['项目在建', '装修交付', '品牌开发商', '人车分流', '便利店', '南北通透', '厨卫全明', '大户型', '双卫生间', '双阳台']",2020-10-31,住宅 70年,暂无数据,62514m²,住宅17000元/㎡(单价范围 15000-17000元/㎡),佛山市顺德区容桂镇外环路3号,3室户型(2)，4室户型(5),164,1473,住宅:2.5,在建中，竣工时间：2019-12-31,住宅:高层,215466m²,佛山市雅顺房地产开发有限公司,暂无数据,住宅 43.2万（首付比例：30%),复式洋房新品待推,1、2栋为22层，8、4、9栋为25层；5、6为29层， 7、3栋为28层,[顺德-容桂]外环路3号,住宅144-187万元/套,住宅:2.6-3元/平米/月,雅居乐雅生活服务股份有限公司顺德分公司,暂无数据,35%,暂无数据,1350户,1637个(地上164个，地下1473个),1:1.1,在售
28,碧桂园凤凰湾,"['今年交房', '低单价', '项目在建', '装修交付', '大型社区', '车位充足', '大户型', '小户型', '双卫生间', '双阳台']",2021-06-30,住宅 70年 商业 70年,暂无数据,1332000m²,"住宅13000元/㎡, 商业待定",佛山市顺德区容桂广东省实验中学附属小学旁,1室户型(2)，3室户型(13)，4室户型(10)，5室户型(3),暂无数据,5000,"住宅:4,商业:4",在建中，竣工时间：2019-03-30,住宅:高层 商业 高层,3000000m²,暂无数据,碧桂园控股有限公司,住宅 35.4万（首付比例：30%),2019-03-17,28、29、32层,[顺德-容桂]外环路45号,住宅118-358万元/套,住宅:2.8元/平米/月 商业:4.2元/平米/月,碧桂园物业,暂无数据,35%,暂无数据,30000户,5000个,1:0.2,在售
29,尚观嘉园,"['今年交房', '项目在建', '装修交付', '大型社区', '车位充足', '人车分流', '购物中心', '公园', '学校', '银行']",2020-06-30,住宅 70年,暂无数据,98017m²,住宅17000元/㎡(单价范围 17000-17500元/㎡),佛山市南海区罗村街道罗村大道中,3室户型(5)，4室户型(3),暂无数据,暂无数据,住宅:2.94,在建中，竣工时间：2018-08-30,住宅:小高层 高层,379260m²,佛山市富林尚观嘉园房地产开发有限公司,佛山市富林尚观嘉园房地产开发有限公司,住宅 44.1万（首付比例：30%),2019-03-16,小高层,[南海-罗村]罗村大道南,住宅147-231万元/套,住宅:1.9元/平米/月,珠海市葆力物业管理有限公司,暂无数据,30%,暂无数据,2769户,2383个(地下车库),1:0.9,在售
30,卓越浅水湾,"['装修交付', '品牌开发商', '车位充足', '银行', '南北通透', '厨卫全明', '大阳台', '双卫生间', '双阳台', '主卧套房']",预计2021年年初交房,住宅 70年,暂无数据,39796m²,住宅22000元/㎡,佛山市禅城区魁奇路及桂澜路交汇处,3室户型(2)，4室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2020-06-30,住宅:高层,226612m²,佛山市胜华琦悦城房地产开发有限公司,卓越集团深圳置业公司,住宅 62.7万（首付比例：30%),2019-03-30,楼高31层，2梯4户设计,[禅城-奇槎]魁奇路及桂澜路交汇处（导航“卓越浅水湾”）,住宅209-259万元/套,住宅:2.8元/平米/月,深圳市卓越物业管理股份有限公司,暂无数据,30%,暂无数据,957户,暂无数据,1:0.91,在售
31,中洲府,"['项目在建', '装修交付', '品牌开发商', '人车分流', '公园', '学校', '三房朝南', '厨卫全明', '双卫生间', '双阳台']",预计2021年年中交房,住宅 70年,暂无数据,48894m²,住宅23000元/㎡,佛山市顺德区大良街道朝乐路中洲府营销中心,3室户型(1)，4室户型(1)，5室户型(1),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2020-12-31,住宅:高层,200000m²,中洲控股,中洲控股,住宅 65.4万（首付比例：30%),2019-03-30,楼高32层,[顺德-大良]朝乐路中洲府营销中心,住宅218-328万元/套,住宅:3元/平米/月,中洲物业,暂无数据,35%,暂无数据,1230户,1230个,1:1,在售
32,龙光金辉优步学府,"['项目在建', '装修交付', '车位充足', '人车分流', '学校', '厨卫全明', '大户型', '大阳台', '双卫生间', '双阳台']",预计2020年年底交房,住宅 70年,暂无数据,23275m²,住宅8800元/㎡(单价范围 8500-8800元/㎡),佛山市高明区荷城街道富湾小学旁,3室户型(1)，4室户型(1),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2019-12-31,住宅:高层,58189m²,金辉集团、龙光地产,暂无数据,住宅 23.7万（首付比例：30%),2019-02-28,1-7栋为高层，共20层,[高明-荷城]荷城街道富湾小学旁,住宅79-101万元/套,住宅:2.47元/平米/月,金辉物业,暂无数据,30%,暂无数据,555户,486个,1:0.86,在售
33,电建地产·洺悦半岛,"['新开盘', '项目在建', '装修交付', '品牌开发商', '人车分流', '公园', '医院', '学校', '便利店', '配套纯熟']",预计2022年3月交房,住宅 70年,暂无数据,54377m²,住宅16000元/㎡(单价范围 15500-16000元/㎡),佛山市顺德区勒流街道勒流中心小学旁,3室户型(1)，4室户型(1),暂无数据,暂无数据,住宅:2.8,在建中，竣工时间：2020-12-31,住宅:高层,195372m²,佛山泛澋置业有限公司,电建地产,住宅 47.4万（首付比例：30%),2019-03-31,17-32层,[顺德-勒流]勒流中心小学旁,住宅158-200万元/套,住宅:3.2元/平米/月,中电建物业管理有限公司,暂无数据,30%,暂无数据,1180户,1285个,1:1.08,在售
34,中南远洋漫悦湾,"['项目在建', '装修交付', '高绿化率', '人车分流', '厨卫全明', '双卫生间', '全景飘窗', '大户型', '热销盘', '新开盘']",2020-12-31,住宅 70年,暂无数据,50000m²,住宅13500元/㎡,佛山市三水区云东海街道湖滨南路,3室户型(2)，4室户型(1),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2019-05-30,住宅:小高层 高层,210000m²,佛山昱辰房地产开发有限公司,暂无数据,住宅 36万（首付比例：30%),2019-03-23,17-33层,[三水-三水新城]湖滨南路与映海路交汇处,住宅120-155万元/套,住宅:2.28元/平米/月,远洋物业服务有限公司,暂无数据,36%,暂无数据,1460户,1568个,1:1.18,在售
